SubjectNumber,dc_time,mom_IBI_Lego,child_IBI_Lego,mom_RSA_Lego,child_RSA_Lego,mom_HbO_dlpfc_l,mom_HbR_dlpfc_l,child_HbO_dlpfc_l,child_HbR_dlpfc_l,mom_HbO_dlpfc_r,mom_HbR_dlpfc_r,child_HbO_dlpfc_r,child_HbR_dlpfc_r,NA_child,NA_Parent,PA_child,PA_Parent
103,460.928,79.86688852,100.237563,6.101233728,6.125461224,3.24E-07,6.67E-07,1.22E-07,-9.72E-08,9.64E-07,8.18E-08,-3.20E-07,-2.61E-07,1,0,0,1
103,461.952,79.87657428,92.32111247,6.082604036,6.022612148,-3.50E-08,4.45E-07,-2.74E-07,-1.25E-08,-3.38E-07,-3.34E-07,-4.70E-07,-1.72E-07,1,0,0,1
103,462.976,80.42815541,106.1944692,6.25458542,5.949765291,-7.32E-07,-6.82E-08,-5.28E-07,6.04E-08,-1.03E-06,-4.68E-07,-6.47E-07,-1.10E-07,0,0,0,0
103,464,83.81333185,98.31011553,6.264348757,5.875298277,-1.56E-06,-6.11E-07,-5.44E-07,4.82E-08,-1.14E-06,-4.23E-07,-7.23E-07,-1.53E-07,1,0,0,0
103,465.024,85.72395409,97.65170542,6.252428419,5.811072329,-2.44E-06,-9.55E-07,-5.12E-07,-4.31E-08,-1.50E-06,-4.45E-07,-7.38E-07,-2.50E-07,1,0,0,0
103,466.048,81.50338483,106.3345507,6.189876395,5.742341265,-3.18E-06,-1.06E-06,-5.47E-07,-8.82E-08,-2.38E-06,-5.45E-07,-8.10E-07,-3.14E-07,0,0,0,0
103,467.072,77.1380511,100.904044,6.178646553,5.689504359,-2.89E-06,-7.53E-07,-4.67E-07,-4.15E-08,-2.62E-06,-3.43E-07,-7.23E-07,-3.17E-07,0,0,0,0
103,468.096,78.54686144,88.78733052,6.274932051,5.653562366,-1.40E-06,-1.19E-07,-1.25E-07,-4.91E-08,-1.60E-06,1.83E-07,-1.45E-07,-3.28E-07,0,0,0,0
103,469.12,77.63948451,82.55612799,6.384222538,5.70159843,3.72E-08,3.08E-07,2.65E-07,-2.22E-07,-2.59E-07,5.13E-07,7.47E-07,-4.23E-07,0,0,0,0
103,470.144,72.41554326,88.13382864,6.566898968,5.885422756,5.78E-07,3.31E-07,3.58E-07,-4.01E-07,5.13E-07,4.13E-07,1.38E-06,-5.25E-07,1,0,0,0
103,471.168,71.17375498,99.91359066,6.619167979,6.149582343,5.92E-07,2.43E-07,2.24E-07,-3.94E-07,8.61E-07,1.92E-07,1.48E-06,-5.77E-07,1,0,0,0
103,472.192,73.14537613,98.28002652,6.625479874,6.260135048,7.05E-07,3.13E-07,2.01E-07,-2.88E-07,1.13E-06,1.69E-07,1.38E-06,-6.59E-07,1,0,0,0
103,473.216,77.55448571,100.6281287,6.8229063,6.257999497,8.53E-07,3.54E-07,2.77E-07,-2.55E-07,9.69E-07,1.33E-07,1.30E-06,-7.69E-07,1,1,0,0
103,474.24,83.05206289,111.1882343,6.920793231,6.193876194,9.24E-07,1.74E-07,1.31E-07,-2.00E-07,2.81E-07,-1.37E-07,9.37E-07,-7.52E-07,1,0,0,0
103,475.264,83.18729002,104.1339722,6.963653875,5.978255964,1.08E-06,-6.84E-08,-4.31E-07,6.88E-08,-3.24E-07,-4.65E-07,-2.22E-08,-4.41E-07,1,0,0,0
103,476.288,75.8846122,91.0031547,6.997999186,5.828148427,1.30E-06,-1.33E-07,-1.17E-06,4.65E-07,-4.91E-07,-6.38E-07,-1.24E-06,7.78E-08,1,0,0,0
103,477.312,65.79520268,92.68727386,7.075576437,5.797502331,1.37E-06,-2.10E-08,-1.68E-06,7.14E-07,-5.91E-07,-6.97E-07,-2.05E-06,5.26E-07,0,0,0,0
103,478.336,61.1089548,99.45050909,7.131486273,5.786610181,1.12E-06,6.40E-08,-1.84E-06,7.54E-07,-1.02E-06,-7.57E-07,-2.26E-06,7.45E-07,0,0,0,0
103,479.36,59.61930783,104.2752476,7.130147161,5.780215114,6.51E-07,-2.92E-08,-1.71E-06,7.43E-07,-1.43E-06,-8.07E-07,-2.08E-06,7.68E-07,0,0,0,0
103,480.384,58.34218768,108.3792416,7.141841866,5.789073867,4.90E-07,-2.02E-07,-1.48E-06,7.82E-07,-1.07E-06,-7.33E-07,-1.80E-06,6.86E-07,0,0,0,0
103,481.408,58.68149042,107.6866162,7.156434357,5.822322875,9.07E-07,-2.95E-07,-1.53E-06,8.26E-07,2.26E-07,-5.04E-07,-1.80E-06,5.75E-07,0,0,0,0
103,482.432,60.74276837,107.7885972,7.153756625,5.918622599,1.54E-06,-2.88E-07,-1.85E-06,7.51E-07,1.73E-06,-2.58E-07,-2.03E-06,4.30E-07,0,0,0,0
103,483.456,67.36674485,111.9940286,7.114507739,6.024650952,1.83E-06,-3.05E-07,-2.10E-06,5.11E-07,2.49E-06,-2.09E-07,-2.18E-06,1.90E-07,0,0,0,0
103,484.48,78.0822745,108.281456,7.066527723,6.038102613,1.39E-06,-5.64E-07,-2.16E-06,2.25E-07,1.92E-06,-4.99E-07,-2.14E-06,-1.21E-07,1,0,0,0
103,485.504,83.6259821,85.195873,7.084457418,5.879607588,2.45E-07,-1.16E-06,-2.16E-06,7.55E-08,3.46E-07,-1.03E-06,-2.00E-06,-4.01E-07,1,0,0,0
103,486.528,81.18068363,75.09537112,7.180421167,5.514415767,-8.13E-07,-1.70E-06,-2.16E-06,1.76E-07,-1.10E-06,-1.39E-06,-1.75E-06,-5.41E-07,1,0,0,0
103,487.552,74.85496394,80.96408184,7.346506331,5.355823162,-7.87E-07,-1.54E-06,-2.03E-06,4.91E-07,-1.53E-06,-1.25E-06,-1.24E-06,-5.01E-07,1,0,0,0
103,488.576,73.75597539,93.16161444,7.307345286,5.467355927,-2.21E-08,-8.05E-07,-1.61E-06,8.48E-07,-1.44E-06,-8.85E-07,-3.85E-07,-3.44E-07,0,0,0,0
103,489.6,73.61576242,103.7070672,7.201248966,5.692529214,3.83E-07,-1.79E-07,-8.40E-07,1.03E-06,-1.59E-06,-6.41E-07,6.51E-07,-2.67E-07,0,0,0,0
103,490.624,67.68249022,101.8303647,7.14235558,5.748243252,3.51E-07,1.04E-07,6.25E-08,9.34E-07,-1.70E-06,-4.74E-07,1.46E-06,-4.50E-07,0,0,0,0
103,491.648,60.35085237,102.7809396,7.067112005,5.793537074,5.54E-07,2.94E-07,5.82E-07,6.71E-07,-1.10E-06,-1.75E-07,1.50E-06,-8.35E-07,0,0,0,0
103,492.672,58.59540378,109.0188329,7.040309498,5.792729077,1.17E-06,5.45E-07,3.93E-07,4.56E-07,1.69E-07,2.38E-07,7.30E-07,-1.12E-06,0,0,0,0
103,493.696,61.57098108,112.713996,6.890484697,5.822880043,1.79E-06,7.47E-07,-1.24E-07,3.09E-07,1.54E-06,5.66E-07,-3.16E-08,-1.09E-06,0,0,0,0
103,494.72,67.20952673,112.2015594,6.854290919,5.996376543,2.07E-06,7.58E-07,-3.41E-07,5.22E-08,2.52E-06,6.64E-07,8.38E-08,-8.60E-07,0,0,0,0
103,495.744,72.23303344,108.9324212,6.859351781,6.0535794,1.95E-06,5.54E-07,-2.34E-07,-2.90E-07,2.86E-06,5.22E-07,8.21E-07,-5.81E-07,0,0,0,1
103,496.768,76.45705713,101.2901074,6.956060675,6.020975482,1.45E-06,2.04E-07,-3.10E-07,-3.88E-07,2.50E-06,2.17E-07,1.10E-06,-2.38E-07,0,0,0,0
103,497.792,80.83384274,99.68761801,6.989167297,5.934196067,6.57E-07,-1.23E-07,-7.78E-07,-6.39E-08,1.67E-06,-9.54E-08,5.52E-07,2.64E-07,0,0,0,0
103,498.816,88.6139875,102.0898188,7.086108306,5.818755854,-1.43E-07,-2.70E-07,-1.12E-06,4.48E-07,8.54E-07,-2.48E-07,-4.81E-08,8.07E-07,0,0,0,0
103,499.84,88.14282912,100.089676,7.128856279,5.800985951,-7.67E-07,-2.52E-07,-7.81E-07,6.92E-07,1.96E-07,-2.41E-07,5.25E-08,1.03E-06,0,0,0,0
103,500.864,68.91253307,103.1907701,7.089728655,5.868668724,-1.23E-06,-1.70E-07,1.13E-07,4.34E-07,-3.85E-07,-1.65E-07,7.84E-07,7.34E-07,1,0,0,0
